GUID,model,sku,isbn,image,price,my_purchase_price,default_price,weight,length,width,height,name,description,meta_title,meta_description,category_name
111,P163,P163,6937890509013,catalog/goods-images/P163.jpg,0.0000,0.0000,396.0000,0.56000000,37.00000000,1.20000000,23.00000000,Мерлион,"Сборная деревянная модель ""Мерлион"", артикул: P163. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
112,P172,P172,6937890512044,catalog/goods-images/P172.jpg,0.0000,0.0000,396.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Пизанская Башня","Сборная деревянная модель ""Пизанская Башня"", артикул: P172. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
113,P180,P180,6937890511832,catalog/goods-images/P180.jpg,0.0000,0.0000,396.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Башня Спейс-Нидл","Сборная деревянная модель ""Башня Спейс-Нидл"", артикул: P180. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
114,P210,P210,6937890512051,catalog/goods-images/P210.jpg,0.0000,0.0000,495.0000,0.56000000,37.00000000,1.20000000,23.00000000,"Тадж Махал","Сборная деревянная модель ""Тадж Махал"", артикул: P210. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
115,P075,P075,6912802040990,catalog/goods-images/P075.jpg,0.0000,0.0000,495.0000,0.70000000,37.00000000,1.50000000,23.00000000,"Храм неба","Сборная деревянная модель ""Храм неба"", артикул: P075. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
116,P078,P078,6912802041003,catalog/goods-images/P078.jpg,0.0000,0.0000,495.0000,0.70000000,37.00000000,1.50000000,23.00000000,"Бранденбургские ворота","Сборная деревянная модель ""Бранденбургские ворота"", артикул: P078. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
117,P079,P079,6912802040860,catalog/goods-images/P079.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Сиднейский мост","Сборная деревянная модель ""Сиднейский мост"", артикул: P079. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
118,P080,P080,6912802040563,catalog/goods-images/P080.jpg,0.0000,0.0000,198.0000,0.28000000,37.00000000,0.60000000,23.00000000,"Сиднейская башня","Сборная деревянная модель ""Сиднейская башня"", артикул: P080. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
119,P083,P083,6912802041010,catalog/goods-images/P083.jpg,0.0000,0.0000,495.0000,0.70000000,37.00000000,1.50000000,23.00000000,"Китайский мост","Сборная деревянная модель ""Китайский мост"", артикул: P083. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
120,P100,P100,6912802040884,catalog/goods-images/P100.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Башня Куала Лумпура","Сборная деревянная модель ""Башня Куала Лумпура"", артикул: P100. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
121,P102,P102,,catalog/goods-images/P102.jpg,0.0000,0.0000,,1.41000000,37.00000000,3.00000000,23.00000000,Башни-близнецы,"Сборная деревянная модель ""Башни-близнецы"", артикул: P102. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
122,P115,P115,6912802041058,catalog/goods-images/P115.jpg,0.0000,0.0000,668.2500,1.13000000,37.00000000,2.40000000,23.00000000,"Сиднейский оперный театр","Сборная деревянная модель ""Сиднейский оперный театр"", артикул: P115. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой). ",0,,,
123,P117,P117,6912802141154,catalog/goods-images/P117.jpg,0.0000,0.0000,247.5000,0.35000000,37.00000000,0.90000000,23.00000000,"Отель Бурж-Аль-Араб","Сборная деревянная модель ""Отель Бурж-Аль-Араб"", артикул: P117. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
124,P122,P122,6912802141369,catalog/goods-images/P122.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Триумфальная арка","Сборная деревянная модель ""Триумфальная арка"", артикул: P122. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
125,P125,P125,6912802141390,catalog/goods-images/P125.jpg,0.0000,0.0000,495.0000,0.70000000,37.00000000,1.50000000,23.00000000,"Биг Бен","Сборная деревянная модель ""Биг Бен"", артикул: P125. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
126,P064,P064,6912802040853,catalog/goods-images/P064.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Руины Макао","Сборная деревянная модель ""Руины Макао"", артикул: P064. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).  ",0,,,
127,P030,P030,6912802040785,catalog/goods-images/P030.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Эйфелева башня","Сборная деревянная модель ""Эйфелева башня"", артикул: P030. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
128,P030A,P030A,6912802144223,catalog/goods-images/P030A.jpg,0.0000,0.0000,99.0000,0.14000000,18.50000000,0.60000000,23.00000000,"Эйфелева башня (малая)","Сборная деревянная модель ""Эйфелева башня (малая)"", артикул: P030A. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
129,P031,P031,6912802040792,catalog/goods-images/P031.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,"Статуя Свободы","Сборная деревянная модель ""Статуя Свободы"", артикул: P031. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
130,P055,P055,6912802040938,catalog/goods-images/P055.jpg,0.0000,0.0000,396.0000,0.56000000,37.00000000,1.20000000,23.00000000,"Тауэрский мост","Сборная деревянная модель ""Тауэрский мост"", артикул: P055. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
131,P057,P057,6912802040846,catalog/goods-images/P057.jpg,0.0000,0.0000,297.0000,0.42000000,37.00000000,0.90000000,23.00000000,Сфинкс,"Сборная деревянная модель ""Сфинкс"", артикул: P057. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции. Для прочности соединений рекомендуется использовать клей ПВА (не токсичен, не имеет запаха, после высыхания становится прозрачным, имеет эластичный клеевой шов, при загустевании может быть разбавлен водой).",0,,,
